feedback_id,client_id,date_feedback,motif_contact,canal,temps_attente,temps_resolution,note_globale,note_rapidite,note_competence,note_amabilite,probleme_resolu,commentaire
SVCLI-00196,CLI-76103,2025-07-19,Suivi de dossier,Formulaire web,10-20 min,< 24h,3,4,3,3,Partiellement,Toujours en attente de solution
SVCLI-00197,CLI-42445,2025-09-08,Modification de contrat,Agence,> 20 min,< 24h,3,2,3,3,Partiellement,Temps d'attente beaucoup trop long
SVCLI-00198,CLI-78959,2025-07-16,Demande d'attestation,Application mobile,> 20 min,1-3 jours,1,1,2,2,Non,Conseiller pas assez informé
SVCLI-00199,CLI-65415,2025-05-21,Demande d'attestation,Chat en ligne,5-10 min,< 24h,5,4,5,5,Oui,Réponse rapide et précise
SVCLI-00200,CLI-69274,2025-05-13,Suivi de dossier,Email,10-20 min,> 7 jours,4,5,3,3,Oui,Prise en charge rapide
SVCLI-00201,CLI-43108,2025-08-06,Question sur contrat,Agence,10-20 min,Immédiat,3,4,3,4,Partiellement,Problème non résolu
SVCLI-00202,CLI-75718,2025-09-27,Question sur contrat,Téléphone,5-10 min,< 24h,4,5,4,4,Oui,Très bonne écoute
SVCLI-00203,CLI-19259,2025-05-17,Déclaration de sinistre,Formulaire web,2-5 min,1-3 jours,5,5,5,5,Oui,Réponse rapide et précise
SVCLI-00204,CLI-37651,2025-08-29,Problème de paiement,Email,> 20 min,> 7 jours,2,2,2,2,Non,Transféré plusieurs fois
SVCLI-00205,CLI-68767,2025-05-04,Question technique app/site,Chat en ligne,> 20 min,1-3 jours,3,4,3,2,Partiellement,Conseiller pas assez informé
SVCLI-00206,CLI-59220,2025-05-16,Suivi de dossier,Chat en ligne,< 2 min,< 24h,5,4,4,5,Oui,Conseiller compétent
SVCLI-00207,CLI-68947,2025-09-05,Demande de devis,Formulaire web,10-20 min,< 24h,5,5,4,5,Oui,Service de qualité
SVCLI-00208,CLI-14019,2025-06-29,Déclaration de sinistre,Agence,10-20 min,Immédiat,2,2,1,2,Non,Réponse évasive
SVCLI-00209,CLI-67886,2025-06-01,Problème de paiement,Application mobile,> 20 min,Immédiat,3,2,2,4,Partiellement,Manque d'empathie
SVCLI-00210,CLI-27967,2025-09-04,Demande de devis,Email,5-10 min,3-7 jours,5,4,4,5,Oui,Réponse rapide et précise
SVCLI-00211,CLI-41662,2025-09-12,Résiliation,Agence,2-5 min,1-3 jours,4,3,5,4,Oui,Service de qualité
SVCLI-00212,CLI-40974,2025-06-12,Déclaration de sinistre,Téléphone,10-20 min,> 7 jours,2,1,3,1,Non,Réponse évasive
SVCLI-00213,CLI-78773,2025-05-01,Renouvellement,Formulaire web,> 20 min,1-3 jours,4,3,5,5,Oui,Professionnel et courtois
SVCLI-00214,CLI-74820,2025-06-12,Question technique app/site,Email,> 20 min,Immédiat,3,4,4,4,Partiellement,Toujours en attente de solution
SVCLI-00215,CLI-37650,2025-10-15,Question sur contrat,Chat en ligne,10-20 min,< 24h,2,3,2,1,Non,Temps d'attente beaucoup trop long
SVCLI-00216,CLI-40232,2025-05-11,Demande de devis,Application mobile,> 20 min,< 24h,3,2,3,2,Partiellement,Manque d'empathie
SVCLI-00217,CLI-21031,2025-07-29,Résiliation,Email,5-10 min,Immédiat,3,4,2,3,Partiellement,Conseiller pas assez informé
SVCLI-00218,CLI-18848,2025-08-07,Modification de contrat,Chat en ligne,10-20 min,1-3 jours,2,3,2,3,Non,Information contradictoire
SVCLI-00219,CLI-77369,2025-07-18,Déclaration de sinistre,Téléphone,> 20 min,1-3 jours,3,4,2,2,Partiellement,Manque d'empathie
SVCLI-00220,CLI-56667,2025-05-01,Demande de devis,Formulaire web,10-20 min,< 24h,4,3,4,3,Oui,Très bonne écoute
SVCLI-00221,CLI-82497,2025-08-13,Suivi de dossier,Application mobile,5-10 min,1-3 jours,2,2,2,2,Non,Transféré plusieurs fois
SVCLI-00222,CLI-52500,2025-07-02,Demande d'attestation,Agence,< 2 min,1-3 jours,5,4,4,4,Oui,Explications claires
SVCLI-00223,CLI-26768,2025-04-21,Déclaration de sinistre,Téléphone,< 2 min,3-7 jours,4,5,3,4,Oui,Conseiller compétent
SVCLI-00224,CLI-62461,2025-05-17,Question sur contrat,Chat en ligne,2-5 min,> 7 jours,5,4,4,4,Oui,Problème résolu immédiatement
SVCLI-00225,CLI-40646,2025-04-28,Réclamation,Application mobile,5-10 min,> 7 jours,4,5,4,3,Oui,Problème résolu immédiatement
SVCLI-00226,CLI-21333,2025-05-14,Modification de contrat,Agence,< 2 min,1-3 jours,5,5,5,5,Oui,Disponibilité appréciée
SVCLI-00227,CLI-62465,2025-09-18,Réclamation,Formulaire web,2-5 min,Immédiat,2,2,2,1,Non,Temps d'attente beaucoup trop long
SVCLI-00228,CLI-90894,2025-10-01,Modification de contrat,Agence,> 20 min,Immédiat,3,4,3,3,Partiellement,Réponse évasive
SVCLI-00229,CLI-49032,2025-05-12,Renouvellement,Agence,> 20 min,> 7 jours,3,4,2,3,Partiellement,Conseiller pas assez informé
SVCLI-00230,CLI-52103,2025-04-21,Information sur garanties,Formulaire web,2-5 min,< 24h,5,5,5,5,Oui,Service de qualité
SVCLI-00231,CLI-29654,2025-10-08,Renouvellement,Formulaire web,< 2 min,3-7 jours,5,4,5,5,Oui,Conseiller compétent
SVCLI-00232,CLI-87486,2025-08-08,Question sur contrat,Téléphone,> 20 min,1-3 jours,4,4,5,4,Oui,Service de qualité
SVCLI-00233,CLI-80114,2025-10-08,Information sur garanties,Application mobile,2-5 min,< 24h,4,4,4,4,Oui,Disponibilité appréciée
SVCLI-00234,CLI-71247,2025-07-13,Suivi de dossier,Téléphone,10-20 min,3-7 jours,4,5,4,5,Oui,Prise en charge rapide
SVCLI-00235,CLI-59317,2025-07-31,Demande d'attestation,Chat en ligne,> 20 min,1-3 jours,2,1,1,3,Non,Problème non résolu
SVCLI-00236,CLI-83349,2025-07-02,Problème de paiement,Formulaire web,5-10 min,1-3 jours,5,5,4,5,Oui,Explications claires
SVCLI-00237,CLI-45152,2025-09-02,Question technique app/site,Application mobile,< 2 min,Immédiat,5,5,5,5,Oui,Conseiller très efficace et sympathique
SVCLI-00238,CLI-49282,2025-08-14,Question sur contrat,Agence,5-10 min,< 24h,3,2,2,4,Partiellement,Information contradictoire
SVCLI-00239,CLI-51056,2025-07-01,Réclamation,Agence,2-5 min,< 24h,4,5,4,4,Oui,Explications claires
SVCLI-00240,CLI-41674,2025-08-21,Question technique app/site,Email,5-10 min,< 24h,3,2,2,4,Partiellement,Information contradictoire
SVCLI-00241,CLI-92102,2025-06-13,Résiliation,Téléphone,> 20 min,1-3 jours,3,4,3,2,Partiellement,Problème non résolu
SVCLI-00242,CLI-77666,2025-07-17,Demande de devis,Formulaire web,2-5 min,> 7 jours,3,4,4,3,Partiellement,Conseiller pas assez informé
SVCLI-00243,CLI-42958,2025-09-03,Question technique app/site,Agence,< 2 min,1-3 jours,1,1,1,2,Non,Toujours en attente de solution
SVCLI-00244,CLI-29533,2025-09-15,Déclaration de sinistre,Téléphone,< 2 min,Immédiat,4,4,5,4,Oui,Conseiller très efficace et sympathique
SVCLI-00245,CLI-89217,2025-06-30,Réclamation,Formulaire web,5-10 min,> 7 jours,4,5,4,4,Oui,Service de qualité
SVCLI-00246,CLI-47313,2025-09-28,Problème de paiement,Formulaire web,2-5 min,1-3 jours,4,4,4,4,Oui,Prise en charge rapide
SVCLI-00247,CLI-83896,2025-05-07,Problème de paiement,Application mobile,< 2 min,Immédiat,5,5,4,5,Oui,Très bonne écoute
SVCLI-00248,CLI-57690,2025-08-19,Question technique app/site,Formulaire web,> 20 min,> 7 jours,3,4,2,2,Partiellement,Réponse évasive
SVCLI-00249,CLI-14412,2025-05-23,Problème de paiement,Agence,2-5 min,3-7 jours,4,5,4,5,Oui,Professionnel et courtois
SVCLI-00250,CLI-17937,2025-09-09,Demande d'attestation,Agence,> 20 min,3-7 jours,5,5,5,5,Oui,Réponse rapide et précise
SVCLI-00251,CLI-77988,2025-08-08,Renouvellement,Chat en ligne,5-10 min,< 24h,4,5,4,4,Oui,Explications claires
SVCLI-00252,CLI-58587,2025-06-14,Résiliation,Application mobile,2-5 min,1-3 jours,4,5,4,5,Oui,Conseiller très efficace et sympathique
SVCLI-00253,CLI-34496,2025-04-30,Suivi de dossier,Application mobile,2-5 min,> 7 jours,3,4,3,4,Partiellement,Information contradictoire
SVCLI-00254,CLI-78538,2025-08-07,Renouvellement,Chat en ligne,10-20 min,1-3 jours,1,1,1,2,Non,Réponse évasive
SVCLI-00255,CLI-46133,2025-09-11,Information sur garanties,Chat en ligne,> 20 min,< 24h,2,1,2,1,Non,Information contradictoire
SVCLI-00256,CLI-95978,2025-07-11,Déclaration de sinistre,Application mobile,< 2 min,Immédiat,4,5,5,5,Oui,Conseiller compétent
SVCLI-00257,CLI-61590,2025-07-02,Question technique app/site,Chat en ligne,> 20 min,> 7 jours,2,2,3,3,Non,Réponse évasive
SVCLI-00258,CLI-73071,2025-08-14,Demande d'attestation,Agence,2-5 min,> 7 jours,3,4,4,3,Partiellement,Réponse évasive
SVCLI-00259,CLI-39469,2025-09-17,Modification de contrat,Email,2-5 min,3-7 jours,2,1,1,2,Non,Manque d'empathie
SVCLI-00260,CLI-35839,2025-05-07,Demande d'attestation,Application mobile,> 20 min,Immédiat,5,5,5,5,Oui,Problème résolu immédiatement
SVCLI-00261,CLI-85857,2025-08-16,Demande de devis,Email,10-20 min,< 24h,1,1,1,1,Non,Toujours en attente de solution
SVCLI-00262,CLI-74710,2025-08-29,Information sur garanties,Email,10-20 min,> 7 jours,3,2,3,4,Partiellement,Transféré plusieurs fois
SVCLI-00263,CLI-59447,2025-09-19,Demande d'attestation,Formulaire web,5-10 min,1-3 jours,2,3,1,3,Non,Transféré plusieurs fois
SVCLI-00264,CLI-44116,2025-04-24,Modification de contrat,Email,> 20 min,1-3 jours,3,4,2,4,Partiellement,Temps d'attente beaucoup trop long
SVCLI-00265,CLI-81988,2025-08-08,Suivi de dossier,Email,10-20 min,> 7 jours,3,3,2,4,Partiellement,Problème non résolu
SVCLI-00266,CLI-10778,2025-07-13,Question sur contrat,Email,2-5 min,< 24h,4,3,4,5,Oui,Conseiller compétent
SVCLI-00267,CLI-63322,2025-10-08,Question sur contrat,Application mobile,10-20 min,1-3 jours,4,4,5,5,Oui,Problème résolu immédiatement
SVCLI-00268,CLI-54809,2025-08-21,Modification de contrat,Email,2-5 min,> 7 jours,5,5,5,5,Oui,Professionnel et courtois
SVCLI-00269,CLI-85704,2025-07-06,Question technique app/site,Agence,2-5 min,Immédiat,5,5,5,5,Oui,Service de qualité
SVCLI-00270,CLI-13906,2025-05-20,Renouvellement,Agence,10-20 min,1-3 jours,4,3,5,5,Oui,Conseiller compétent
SVCLI-00271,CLI-78734,2025-06-27,Problème de paiement,Téléphone,> 20 min,3-7 jours,4,4,3,5,Oui,Service de qualité
SVCLI-00272,CLI-51954,2025-10-18,Question technique app/site,Application mobile,< 2 min,< 24h,4,3,5,4,Oui,Explications claires
SVCLI-00273,CLI-69415,2025-08-17,Question sur contrat,Formulaire web,10-20 min,3-7 jours,2,1,2,3,Non,Information contradictoire
SVCLI-00274,CLI-47661,2025-07-03,Question technique app/site,Agence,> 20 min,< 24h,5,5,5,5,Oui,Problème résolu immédiatement
SVCLI-00275,CLI-58479,2025-06-23,Demande de devis,Agence,10-20 min,3-7 jours,2,2,3,3,Non,Réponse évasive
SVCLI-00276,CLI-17377,2025-06-24,Suivi de dossier,Application mobile,10-20 min,> 7 jours,4,4,5,4,Oui,Réponse rapide et précise
SVCLI-00277,CLI-44769,2025-10-08,Problème de paiement,Application mobile,10-20 min,1-3 jours,5,5,4,5,Oui,Prise en charge rapide
SVCLI-00278,CLI-62856,2025-06-08,Modification de contrat,Agence,10-20 min,> 7 jours,5,4,4,5,Oui,Problème résolu immédiatement
SVCLI-00279,CLI-83570,2025-10-17,Réclamation,Agence,< 2 min,1-3 jours,3,3,2,3,Partiellement,Pas de rappel comme promis
SVCLI-00280,CLI-22260,2025-09-19,Question sur contrat,Email,2-5 min,< 24h,5,5,5,5,Oui,Explications claires
SVCLI-00281,CLI-27000,2025-10-16,Problème de paiement,Application mobile,< 2 min,> 7 jours,1,2,1,1,Non,Service décevant
SVCLI-00282,CLI-91475,2025-04-27,Déclaration de sinistre,Application mobile,10-20 min,1-3 jours,4,3,5,4,Oui,Service de qualité
SVCLI-00283,CLI-98754,2025-04-29,Problème de paiement,Application mobile,5-10 min,Immédiat,5,5,4,5,Oui,Explications claires
SVCLI-00284,CLI-33706,2025-07-17,Réclamation,Application mobile,< 2 min,> 7 jours,4,3,4,4,Oui,Problème résolu immédiatement
SVCLI-00285,CLI-70935,2025-08-01,Question technique app/site,Agence,10-20 min,< 24h,5,5,4,5,Oui,Conseiller compétent
SVCLI-00286,CLI-70887,2025-08-01,Renouvellement,Agence,5-10 min,> 7 jours,5,4,4,5,Oui,Explications claires
SVCLI-00287,CLI-21887,2025-05-29,Déclaration de sinistre,Chat en ligne,< 2 min,1-3 jours,3,3,4,2,Partiellement,Conseiller pas assez informé
SVCLI-00288,CLI-37722,2025-04-22,Question sur contrat,Chat en ligne,> 20 min,3-7 jours,3,4,3,3,Partiellement,Information contradictoire
SVCLI-00289,CLI-36586,2025-10-17,Question sur contrat,Chat en ligne,> 20 min,Immédiat,5,5,4,5,Oui,Professionnel et courtois
SVCLI-00290,CLI-20863,2025-06-26,Question technique app/site,Agence,> 20 min,3-7 jours,4,3,5,5,Oui,Prise en charge rapide
SVCLI-00291,CLI-69467,2025-09-11,Réclamation,Formulaire web,5-10 min,1-3 jours,5,4,5,5,Oui,Prise en charge rapide
SVCLI-00292,CLI-46846,2025-04-22,Question sur contrat,Chat en ligne,5-10 min,< 24h,4,3,3,3,Oui,Service de qualité
SVCLI-00293,CLI-55780,2025-05-06,Suivi de dossier,Email,< 2 min,> 7 jours,2,2,2,2,Non,Conseiller pas assez informé
SVCLI-00294,CLI-94635,2025-06-08,Question technique app/site,Application mobile,> 20 min,Immédiat,3,3,2,2,Partiellement,Toujours en attente de solution
SVCLI-00295,CLI-83446,2025-05-10,Modification de contrat,Formulaire web,> 20 min,1-3 jours,4,5,3,5,Oui,Conseiller compétent
SVCLI-00296,CLI-25071,2025-06-26,Déclaration de sinistre,Application mobile,2-5 min,Immédiat,3,4,3,4,Partiellement,Service décevant
SVCLI-00297,CLI-85375,2025-04-27,Résiliation,Email,< 2 min,< 24h,2,1,1,2,Non,Temps d'attente beaucoup trop long
SVCLI-00298,CLI-64594,2025-07-30,Question sur contrat,Agence,2-5 min,< 24h,2,3,3,3,Non,Manque d'empathie
SVCLI-00299,CLI-48073,2025-07-06,Question sur contrat,Téléphone,> 20 min,< 24h,4,3,3,5,Oui,Service de qualité
SVCLI-00300,CLI-17096,2025-04-28,Suivi de dossier,Agence,> 20 min,1-3 jours,3,4,4,4,Partiellement,Pas de rappel comme promis
SVCLI-00301,CLI-48584,2025-06-27,Demande d'attestation,Formulaire web,5-10 min,1-3 jours,5,5,4,5,Oui,Conseiller très efficace et sympathique
SVCLI-00302,CLI-85694,2025-09-04,Question technique app/site,Email,5-10 min,3-7 jours,4,3,3,5,Oui,Conseiller très efficace et sympathique
SVCLI-00303,CLI-90994,2025-07-28,Réclamation,Formulaire web,> 20 min,1-3 jours,1,2,1,1,Non,Pas de rappel comme promis
SVCLI-00304,CLI-80384,2025-06-23,Problème de paiement,Formulaire web,5-10 min,< 24h,4,3,5,5,Oui,Explications claires
SVCLI-00305,CLI-17836,2025-09-22,Modification de contrat,Chat en ligne,10-20 min,< 24h,2,2,2,1,Non,Pas de rappel comme promis
SVCLI-00306,CLI-25740,2025-05-22,Problème de paiement,Formulaire web,< 2 min,3-7 jours,4,5,4,5,Oui,Problème résolu immédiatement
SVCLI-00307,CLI-95145,2025-07-16,Problème de paiement,Agence,2-5 min,3-7 jours,5,5,5,5,Oui,Disponibilité appréciée
SVCLI-00308,CLI-30044,2025-07-11,Modification de contrat,Email,10-20 min,Immédiat,4,3,3,4,Oui,Conseiller compétent
SVCLI-00309,CLI-74404,2025-06-22,Modification de contrat,Chat en ligne,5-10 min,1-3 jours,3,3,3,3,Partiellement,Problème non résolu
SVCLI-00310,CLI-47891,2025-05-22,Demande de devis,Formulaire web,2-5 min,Immédiat,3,3,4,2,Partiellement,Réponse évasive
SVCLI-00311,CLI-20152,2025-04-27,Résiliation,Application mobile,2-5 min,> 7 jours,3,2,4,2,Partiellement,Réponse évasive
SVCLI-00312,CLI-44588,2025-09-02,Demande de devis,Application mobile,> 20 min,3-7 jours,3,2,3,4,Partiellement,Conseiller pas assez informé
SVCLI-00313,CLI-21047,2025-04-22,Demande d'attestation,Formulaire web,2-5 min,> 7 jours,3,2,3,2,Partiellement,Temps d'attente beaucoup trop long
SVCLI-00314,CLI-69945,2025-06-15,Demande de devis,Téléphone,> 20 min,< 24h,4,4,3,4,Oui,Conseiller compétent
SVCLI-00315,CLI-88710,2025-06-25,Renouvellement,Téléphone,5-10 min,1-3 jours,5,5,5,5,Oui,Explications claires
SVCLI-00316,CLI-31494,2025-07-15,Résiliation,Chat en ligne,> 20 min,3-7 jours,4,3,4,5,Oui,Professionnel et courtois
SVCLI-00317,CLI-28110,2025-07-07,Demande d'attestation,Email,10-20 min,> 7 jours,5,5,5,4,Oui,Problème résolu immédiatement
SVCLI-00318,CLI-97302,2025-09-08,Question technique app/site,Email,2-5 min,1-3 jours,4,5,5,4,Oui,Professionnel et courtois
SVCLI-00319,CLI-10616,2025-08-03,Information sur garanties,Téléphone,2-5 min,> 7 jours,4,4,3,5,Oui,Problème résolu immédiatement
SVCLI-00320,CLI-33861,2025-08-29,Problème de paiement,Email,2-5 min,1-3 jours,4,3,4,3,Oui,Réponse rapide et précise
SVCLI-00321,CLI-26516,2025-04-24,Demande d'attestation,Email,10-20 min,Immédiat,5,5,4,4,Oui,Professionnel et courtois
SVCLI-00322,CLI-96412,2025-10-13,Problème de paiement,Formulaire web,< 2 min,1-3 jours,5,5,5,5,Oui,Professionnel et courtois
SVCLI-00323,CLI-60178,2025-09-13,Problème de paiement,Agence,< 2 min,< 24h,3,2,3,4,Partiellement,Transféré plusieurs fois
SVCLI-00324,CLI-10663,2025-09-09,Déclaration de sinistre,Agence,> 20 min,> 7 jours,4,3,3,5,Oui,Service de qualité
SVCLI-00325,CLI-53736,2025-10-14,Modification de contrat,Email,5-10 min,Immédiat,4,5,5,5,Oui,Prise en charge rapide
SVCLI-00326,CLI-60741,2025-07-12,Renouvellement,Chat en ligne,10-20 min,< 24h,3,3,3,2,Partiellement,Toujours en attente de solution
SVCLI-00327,CLI-54142,2025-06-26,Renouvellement,Application mobile,> 20 min,3-7 jours,3,2,2,2,Partiellement,Transféré plusieurs fois
SVCLI-00328,CLI-50853,2025-05-02,Demande d'attestation,Application mobile,< 2 min,1-3 jours,2,3,1,2,Non,Problème non résolu
SVCLI-00329,CLI-76807,2025-05-05,Question sur contrat,Agence,2-5 min,3-7 jours,3,2,4,3,Partiellement,Manque d'empathie
SVCLI-00330,CLI-79233,2025-09-29,Renouvellement,Application mobile,5-10 min,1-3 jours,4,4,3,3,Oui,Explications claires
SVCLI-00331,CLI-34772,2025-07-30,Question sur contrat,Application mobile,10-20 min,1-3 jours,1,1,2,2,Non,Conseiller pas assez informé
SVCLI-00332,CLI-16226,2025-05-20,Demande de devis,Agence,5-10 min,> 7 jours,2,1,2,3,Non,Transféré plusieurs fois
SVCLI-00333,CLI-68261,2025-09-24,Déclaration de sinistre,Agence,< 2 min,1-3 jours,5,5,5,4,Oui,Très bonne écoute
SVCLI-00334,CLI-78457,2025-05-12,Résiliation,Téléphone,5-10 min,> 7 jours,4,4,5,5,Oui,Disponibilité appréciée
SVCLI-00335,CLI-77468,2025-10-11,Résiliation,Chat en ligne,5-10 min,< 24h,4,5,3,4,Oui,Explications claires
SVCLI-00336,CLI-95772,2025-06-14,Question technique app/site,Email,5-10 min,< 24h,5,5,5,5,Oui,Problème résolu immédiatement
SVCLI-00337,CLI-99301,2025-08-24,Question sur contrat,Email,5-10 min,< 24h,5,5,5,5,Oui,Explications claires
SVCLI-00338,CLI-80697,2025-08-25,Renouvellement,Téléphone,> 20 min,< 24h,1,1,2,1,Non,Conseiller pas assez informé
SVCLI-00339,CLI-93467,2025-09-15,Déclaration de sinistre,Email,10-20 min,< 24h,5,5,5,4,Oui,Problème résolu immédiatement
SVCLI-00340,CLI-76198,2025-06-16,Suivi de dossier,Chat en ligne,10-20 min,3-7 jours,1,1,1,1,Non,Pas de rappel comme promis
SVCLI-00341,CLI-67151,2025-09-06,Déclaration de sinistre,Téléphone,< 2 min,> 7 jours,5,4,4,5,Oui,Conseiller compétent
SVCLI-00342,CLI-70594,2025-08-17,Demande de devis,Email,> 20 min,3-7 jours,4,3,4,3,Oui,Réponse rapide et précise
SVCLI-00343,CLI-12889,2025-10-11,Renouvellement,Agence,5-10 min,Immédiat,4,3,4,5,Oui,Réponse rapide et précise
SVCLI-00344,CLI-25798,2025-07-14,Renouvellement,Agence,> 20 min,3-7 jours,3,4,3,4,Partiellement,Temps d'attente beaucoup trop long
SVCLI-00345,CLI-18705,2025-06-12,Question sur contrat,Agence,5-10 min,1-3 jours,4,3,5,4,Oui,Problème résolu immédiatement
SVCLI-00346,CLI-62299,2025-10-10,Question technique app/site,Formulaire web,2-5 min,1-3 jours,1,1,1,2,Non,Temps d'attente beaucoup trop long
SVCLI-00347,CLI-44406,2025-04-25,Déclaration de sinistre,Agence,< 2 min,Immédiat,5,5,4,4,Oui,Disponibilité appréciée
SVCLI-00348,CLI-23574,2025-10-06,Problème de paiement,Application mobile,< 2 min,Immédiat,4,5,4,5,Oui,Conseiller très efficace et sympathique
SVCLI-00349,CLI-19159,2025-06-12,Réclamation,Téléphone,< 2 min,3-7 jours,1,1,1,1,Non,Conseiller pas assez informé
SVCLI-00350,CLI-31083,2025-08-05,Problème de paiement,Application mobile,> 20 min,< 24h,4,3,5,3,Oui,Prise en charge rapide
SVCLI-00351,CLI-59425,2025-10-13,Réclamation,Formulaire web,5-10 min,> 7 jours,4,5,5,3,Oui,Réponse rapide et précise
SVCLI-00352,CLI-75123,2025-06-11,Question technique app/site,Agence,> 20 min,< 24h,5,5,5,5,Oui,Très bonne écoute
SVCLI-00353,CLI-43445,2025-10-07,Question sur contrat,Téléphone,< 2 min,1-3 jours,3,3,3,4,Partiellement,Toujours en attente de solution
SVCLI-00354,CLI-53673,2025-06-27,Renouvellement,Formulaire web,2-5 min,> 7 jours,3,3,4,3,Partiellement,Pas de rappel comme promis
SVCLI-00355,CLI-31129,2025-09-19,Résiliation,Chat en ligne,5-10 min,> 7 jours,5,5,5,5,Oui,Conseiller très efficace et sympathique
SVCLI-00356,CLI-80420,2025-09-08,Modification de contrat,Chat en ligne,< 2 min,< 24h,3,2,3,2,Partiellement,Pas de rappel comme promis
SVCLI-00357,CLI-56042,2025-08-08,Question technique app/site,Application mobile,> 20 min,< 24h,4,5,4,4,Oui,Service de qualité
SVCLI-00358,CLI-90600,2025-05-30,Réclamation,Formulaire web,2-5 min,> 7 jours,5,5,5,5,Oui,Professionnel et courtois
SVCLI-00359,CLI-17647,2025-09-14,Information sur garanties,Téléphone,10-20 min,Immédiat,5,4,5,4,Oui,Service de qualité
SVCLI-00360,CLI-19820,2025-08-17,Demande d'attestation,Agence,< 2 min,Immédiat,2,2,3,2,Non,Pas de rappel comme promis
SVCLI-00361,CLI-84214,2025-05-28,Modification de contrat,Agence,< 2 min,Immédiat,5,4,5,5,Oui,Conseiller très efficace et sympathique
SVCLI-00362,CLI-73778,2025-08-11,Modification de contrat,Email,10-20 min,Immédiat,2,1,1,1,Non,Transféré plusieurs fois
SVCLI-00363,CLI-56716,2025-04-30,Déclaration de sinistre,Formulaire web,2-5 min,1-3 jours,1,1,1,1,Non,Problème non résolu
SVCLI-00364,CLI-91420,2025-09-21,Modification de contrat,Email,10-20 min,< 24h,1,1,1,1,Non,Transféré plusieurs fois
SVCLI-00365,CLI-58869,2025-09-28,Demande d'attestation,Agence,> 20 min,3-7 jours,4,5,3,5,Oui,Conseiller très efficace et sympathique
SVCLI-00366,CLI-89814,2025-09-03,Renouvellement,Formulaire web,> 20 min,Immédiat,4,5,5,3,Oui,Prise en charge rapide
SVCLI-00367,CLI-63628,2025-05-22,Suivi de dossier,Formulaire web,2-5 min,1-3 jours,5,5,4,5,Oui,Réponse rapide et précise
SVCLI-00368,CLI-62403,2025-06-08,Modification de contrat,Agence,2-5 min,> 7 jours,4,3,3,3,Oui,Disponibilité appréciée
SVCLI-00369,CLI-99868,2025-08-10,Demande d'attestation,Téléphone,< 2 min,Immédiat,4,4,5,5,Oui,Professionnel et courtois
SVCLI-00370,CLI-85217,2025-04-24,Réclamation,Chat en ligne,10-20 min,1-3 jours,3,4,2,3,Partiellement,Toujours en attente de solution
SVCLI-00371,CLI-64487,2025-04-26,Question sur contrat,Email,< 2 min,1-3 jours,1,2,1,2,Non,Pas de rappel comme promis
SVCLI-00372,CLI-28381,2025-04-28,Renouvellement,Agence,5-10 min,3-7 jours,5,5,4,5,Oui,Service de qualité
SVCLI-00373,CLI-27559,2025-08-22,Réclamation,Formulaire web,> 20 min,< 24h,3,4,2,4,Partiellement,Réponse évasive
SVCLI-00374,CLI-28765,2025-09-01,Information sur garanties,Agence,5-10 min,< 24h,1,1,1,1,Non,Information contradictoire
SVCLI-00375,CLI-50351,2025-07-27,Information sur garanties,Agence,> 20 min,> 7 jours,4,3,5,5,Oui,Disponibilité appréciée
SVCLI-00376,CLI-98537,2025-09-12,Question technique app/site,Chat en ligne,> 20 min,> 7 jours,3,2,2,2,Partiellement,Temps d'attente beaucoup trop long
SVCLI-00377,CLI-94539,2025-07-06,Question sur contrat,Application mobile,10-20 min,1-3 jours,4,5,3,5,Oui,Problème résolu immédiatement
SVCLI-00378,CLI-97974,2025-07-22,Question technique app/site,Email,5-10 min,3-7 jours,1,1,2,1,Non,Pas de rappel comme promis
SVCLI-00379,CLI-28567,2025-09-29,Modification de contrat,Chat en ligne,> 20 min,3-7 jours,3,3,3,2,Partiellement,Temps d'attente beaucoup trop long
SVCLI-00380,CLI-57790,2025-05-30,Modification de contrat,Téléphone,5-10 min,3-7 jours,4,4,3,4,Oui,Réponse rapide et précise
SVCLI-00381,CLI-69222,2025-09-18,Question technique app/site,Chat en ligne,10-20 min,3-7 jours,5,4,4,5,Oui,Conseiller très efficace et sympathique
SVCLI-00382,CLI-39744,2025-06-24,Renouvellement,Agence,5-10 min,> 7 jours,5,5,5,5,Oui,Disponibilité appréciée
SVCLI-00383,CLI-57789,2025-07-20,Résiliation,Email,> 20 min,< 24h,4,4,3,4,Oui,Professionnel et courtois
SVCLI-00384,CLI-69769,2025-08-16,Question sur contrat,Application mobile,5-10 min,> 7 jours,4,4,4,5,Oui,Très bonne écoute
SVCLI-00385,CLI-41054,2025-07-11,Question technique app/site,Email,2-5 min,3-7 jours,4,4,4,3,Oui,Problème résolu immédiatement
SVCLI-00386,CLI-98092,2025-08-08,Réclamation,Email,2-5 min,< 24h,2,3,3,1,Non,Information contradictoire
SVCLI-00387,CLI-95114,2025-06-25,Déclaration de sinistre,Formulaire web,< 2 min,1-3 jours,5,5,5,4,Oui,Explications claires
SVCLI-00388,CLI-22343,2025-10-09,Réclamation,Application mobile,2-5 min,> 7 jours,4,3,3,5,Oui,Prise en charge rapide
SVCLI-00389,CLI-74010,2025-09-04,Suivi de dossier,Formulaire web,10-20 min,3-7 jours,4,3,5,5,Oui,Conseiller compétent
SVCLI-00390,CLI-33518,2025-07-27,Suivi de dossier,Application mobile,5-10 min,3-7 jours,4,5,5,3,Oui,Conseiller compétent
