feedback_id,client_id,date_feedback,version_app,fonctionnalite,type_feedback,note_globale,note_facilite,note_design,note_performance,commentaire
APPMOB-00180,CLI-21094,2025-05-13 11:22:18,Android 2.3.5,Consultation de contrats,Appréciation positive,3,2,2,2,Facile à utiliser
APPMOB-00181,CLI-16253,2025-09-30 11:22:18,Android 2.4.1,Consultation de contrats,Bug signalé,4,4,5,4,Problème de connexion récurrent
APPMOB-00182,CLI-61151,2025-09-27 11:22:18,iOS 2.4.0,Demande d'attestation,Bug signalé,4,3,4,3,Problème de connexion récurrent
APPMOB-00183,CLI-55449,2025-05-30 11:22:18,Android 2.3.5,Demande d'attestation,Difficulté d'utilisation,3,3,2,3,Trop complexe pour déclarer un sinistre
APPMOB-00184,CLI-53246,2025-09-04 11:22:18,iOS 2.4.0,Suivi de remboursement,Appréciation positive,3,4,4,3,Application très pratique
APPMOB-00185,CLI-16655,2025-05-01 11:22:18,Android 2.3.5,Espace documentaire,Bug signalé,1,2,1,1,L'application se ferme lors du paiement
APPMOB-00186,CLI-25168,2025-08-30 11:22:18,Android 2.4.1,Consultation de contrats,Appréciation positive,3,4,3,2,Application très pratique
APPMOB-00187,CLI-66798,2025-08-06 11:22:18,Android 2.3.5,Gestion de profil,Bug signalé,4,4,5,3,Notifications qui ne s'affichent pas
APPMOB-00188,CLI-72751,2025-09-13 11:22:18,Android 2.4.1,Espace documentaire,Bug signalé,5,5,5,5,Impossible de télécharger les attestations
APPMOB-00189,CLI-25659,2025-08-04 11:22:18,Android 2.3.5,Paiement,Bug signalé,2,2,1,1,Notifications qui ne s'affichent pas
APPMOB-00190,CLI-69977,2025-10-01 11:22:18,Android 2.4.0,Espace documentaire,Suggestion d'amélioration,4,5,5,5,Ajouter Touch ID/Face ID
APPMOB-00191,CLI-28760,2025-06-24 11:22:18,Android 2.4.1,Espace documentaire,Appréciation positive,1,2,1,1,Facile à utiliser
APPMOB-00192,CLI-64642,2025-06-11 11:22:18,iOS 2.3.5,Paiement,Appréciation positive,4,5,5,5,Facile à utiliser
APPMOB-00193,CLI-11024,2025-09-01 11:22:18,Android 2.4.1,Simulation de devis,Bug signalé,1,2,2,2,Notifications qui ne s'affichent pas
APPMOB-00194,CLI-10550,2025-07-30 11:22:18,Android 2.4.0,Consultation de contrats,Difficulté d'utilisation,3,2,4,2,Menu pas intuitif
APPMOB-00195,CLI-99394,2025-05-27 11:22:18,iOS 2.3.5,Suivi de remboursement,Appréciation positive,4,4,4,3,Application très pratique
APPMOB-00196,CLI-58106,2025-09-19 11:22:18,iOS 2.4.1,Simulation de devis,Difficulté d'utilisation,5,4,4,4,Trop complexe pour déclarer un sinistre
APPMOB-00197,CLI-39917,2025-08-24 11:22:18,Android 2.3.5,Demande d'attestation,Difficulté d'utilisation,4,5,5,3,Menu pas intuitif
APPMOB-00198,CLI-67441,2025-08-19 11:22:18,iOS 2.4.1,Simulation de devis,Difficulté d'utilisation,1,1,2,1,Trop complexe pour déclarer un sinistre
APPMOB-00199,CLI-35818,2025-10-09 11:22:18,Android 2.4.0,Déclaration de sinistre,Suggestion d'amélioration,4,3,4,4,Améliorer l'ergonomie
APPMOB-00200,CLI-15649,2025-07-03 11:22:18,iOS 2.3.5,Chat avec conseiller,Difficulté d'utilisation,4,3,5,4,Menu pas intuitif
APPMOB-00201,CLI-11926,2025-05-31 11:22:18,Android 2.4.0,Consultation de contrats,Appréciation positive,5,5,5,4,Facile à utiliser
APPMOB-00202,CLI-95018,2025-07-04 11:22:18,Android 2.4.1,Simulation de devis,Bug signalé,4,5,4,5,L'application se ferme lors du paiement
APPMOB-00203,CLI-63349,2025-08-29 11:22:18,Android 2.4.0,Suivi de remboursement,Difficulté d'utilisation,3,3,4,3,Menu pas intuitif
APPMOB-00204,CLI-39231,2025-07-22 11:22:18,iOS 2.4.1,Simulation de devis,Appréciation positive,3,2,3,3,Interface claire et intuitive
APPMOB-00205,CLI-94557,2025-07-02 11:22:18,iOS 2.4.1,Paiement,Bug signalé,2,2,3,1,Problème de connexion récurrent
APPMOB-00206,CLI-29500,2025-05-19 11:22:18,iOS 2.4.1,Paiement,Difficulté d'utilisation,2,1,1,2,Menu pas intuitif
APPMOB-00207,CLI-38916,2025-06-21 11:22:18,Android 2.3.5,Demande d'attestation,Difficulté d'utilisation,4,3,5,5,Menu pas intuitif
APPMOB-00208,CLI-66887,2025-09-10 11:22:18,Android 2.3.5,Paiement,Suggestion d'amélioration,3,3,2,4,Améliorer l'ergonomie
APPMOB-00209,CLI-39298,2025-06-27 11:22:18,Android 2.4.0,Gestion de profil,Appréciation positive,4,3,5,4,Application très pratique
APPMOB-00210,CLI-36347,2025-08-18 11:22:18,iOS 2.3.5,Déclaration de sinistre,Suggestion d'amélioration,5,5,4,5,Améliorer l'ergonomie
APPMOB-00211,CLI-72818,2025-09-19 11:22:18,iOS 2.4.0,Suivi de remboursement,Suggestion d'amélioration,2,2,3,3,Ajouter Touch ID/Face ID
APPMOB-00212,CLI-44414,2025-05-27 11:22:18,iOS 2.4.1,Suivi de remboursement,Difficulté d'utilisation,4,5,4,5,Trop complexe pour déclarer un sinistre
APPMOB-00213,CLI-77855,2025-05-01 11:22:18,iOS 2.3.5,Demande d'attestation,Difficulté d'utilisation,4,4,3,4,Trop complexe pour déclarer un sinistre
APPMOB-00214,CLI-33141,2025-05-19 11:22:18,Android 2.3.5,Espace documentaire,Appréciation positive,3,3,3,4,Application très pratique
APPMOB-00215,CLI-81715,2025-08-15 11:22:18,iOS 2.4.1,Suivi de remboursement,Difficulté d'utilisation,2,2,2,1,Menu pas intuitif
APPMOB-00216,CLI-43516,2025-09-27 11:22:18,Android 2.4.0,Notification,Bug signalé,3,2,3,4,L'application se ferme lors du paiement
APPMOB-00217,CLI-29404,2025-05-01 11:22:18,Android 2.4.0,Suivi de remboursement,Suggestion d'amélioration,3,2,2,2,Améliorer l'ergonomie
APPMOB-00218,CLI-85471,2025-05-18 11:22:18,iOS 2.4.0,Espace documentaire,Appréciation positive,5,5,5,4,Application très pratique
APPMOB-00219,CLI-34980,2025-06-10 11:22:18,Android 2.4.0,Gestion de profil,Appréciation positive,3,4,2,4,Facile à utiliser
APPMOB-00220,CLI-68173,2025-05-08 11:22:18,iOS 2.3.5,Chat avec conseiller,Appréciation positive,5,5,5,4,Interface claire et intuitive
APPMOB-00221,CLI-16097,2025-06-08 11:22:18,Android 2.4.1,Déclaration de sinistre,Bug signalé,4,4,3,3,L'application se ferme lors du paiement
APPMOB-00222,CLI-86654,2025-05-02 11:22:18,Android 2.3.5,Notification,Difficulté d'utilisation,1,1,2,2,Trop complexe pour déclarer un sinistre
APPMOB-00223,CLI-86526,2025-08-15 11:22:18,iOS 2.4.1,Notification,Suggestion d'amélioration,3,4,2,2,Améliorer l'ergonomie
APPMOB-00224,CLI-36307,2025-06-19 11:22:18,iOS 2.3.5,Gestion de profil,Difficulté d'utilisation,3,2,3,4,Trop complexe pour déclarer un sinistre
APPMOB-00225,CLI-50959,2025-08-02 11:22:18,iOS 2.4.0,Demande d'attestation,Appréciation positive,4,4,5,4,Facile à utiliser
APPMOB-00226,CLI-62388,2025-05-21 11:22:18,Android 2.4.1,Gestion de profil,Appréciation positive,3,2,4,2,Interface claire et intuitive
APPMOB-00227,CLI-93711,2025-08-11 11:22:18,iOS 2.4.0,Déclaration de sinistre,Bug signalé,3,3,2,2,Notifications qui ne s'affichent pas
APPMOB-00228,CLI-73038,2025-07-12 11:22:18,iOS 2.3.5,Notification,Appréciation positive,2,3,2,2,Application très pratique
APPMOB-00229,CLI-39682,2025-06-07 11:22:18,Android 2.4.0,Paiement,Appréciation positive,4,3,4,3,Application très pratique
APPMOB-00230,CLI-30281,2025-06-06 11:22:18,Android 2.4.1,Demande d'attestation,Bug signalé,5,4,5,5,Notifications qui ne s'affichent pas
APPMOB-00231,CLI-44390,2025-04-25 11:22:18,Android 2.3.5,Paiement,Difficulté d'utilisation,4,4,3,3,Trop complexe pour déclarer un sinistre
APPMOB-00232,CLI-98651,2025-08-08 11:22:18,iOS 2.4.1,Simulation de devis,Difficulté d'utilisation,4,3,4,5,Trop complexe pour déclarer un sinistre
APPMOB-00233,CLI-37127,2025-06-24 11:22:18,iOS 2.3.5,Consultation de contrats,Appréciation positive,1,1,1,2,Interface claire et intuitive
APPMOB-00234,CLI-54234,2025-09-20 11:22:18,Android 2.3.5,Consultation de contrats,Suggestion d'amélioration,5,5,5,5,Ajouter mode sombre
APPMOB-00235,CLI-24612,2025-05-02 11:22:18,Android 2.4.1,Chat avec conseiller,Difficulté d'utilisation,2,3,1,1,Menu pas intuitif
APPMOB-00236,CLI-66517,2025-10-13 11:22:18,iOS 2.4.1,Déclaration de sinistre,Difficulté d'utilisation,2,1,2,2,Menu pas intuitif
APPMOB-00237,CLI-82586,2025-07-25 11:22:18,iOS 2.4.1,Consultation de contrats,Suggestion d'amélioration,3,4,4,2,Ajouter mode sombre
APPMOB-00238,CLI-55981,2025-08-25 11:22:18,Android 2.4.1,Gestion de profil,Suggestion d'amélioration,3,2,2,3,Ajouter mode sombre
APPMOB-00239,CLI-84829,2025-05-07 11:22:18,Android 2.4.1,Paiement,Suggestion d'amélioration,5,5,5,5,Ajouter Touch ID/Face ID
APPMOB-00240,CLI-17201,2025-09-28 11:22:18,Android 2.4.1,Consultation de contrats,Difficulté d'utilisation,5,5,5,5,Trop complexe pour déclarer un sinistre
APPMOB-00241,CLI-14205,2025-05-09 11:22:18,Android 2.3.5,Notification,Difficulté d'utilisation,3,4,2,2,Trop complexe pour déclarer un sinistre
APPMOB-00242,CLI-82055,2025-09-20 11:22:18,Android 2.4.0,Chat avec conseiller,Suggestion d'amélioration,4,3,5,4,Ajouter Touch ID/Face ID
APPMOB-00243,CLI-95545,2025-05-16 11:22:18,iOS 2.4.0,Demande d'attestation,Bug signalé,4,4,3,4,Problème de connexion récurrent
APPMOB-00244,CLI-98752,2025-07-27 11:22:18,iOS 2.4.1,Gestion de profil,Bug signalé,4,4,3,4,Notifications qui ne s'affichent pas
APPMOB-00245,CLI-56116,2025-08-02 11:22:18,Android 2.4.1,Notification,Difficulté d'utilisation,4,5,4,3,Menu pas intuitif
APPMOB-00246,CLI-28354,2025-05-06 11:22:18,Android 2.4.0,Consultation de contrats,Suggestion d'amélioration,5,5,4,5,Ajouter mode sombre
APPMOB-00247,CLI-71966,2025-05-13 11:22:18,iOS 2.4.0,Déclaration de sinistre,Suggestion d'amélioration,4,3,4,3,Ajouter mode sombre
APPMOB-00248,CLI-84311,2025-09-13 11:22:18,Android 2.4.1,Demande d'attestation,Suggestion d'amélioration,4,4,5,4,Ajouter mode sombre
APPMOB-00249,CLI-51088,2025-09-11 11:22:18,iOS 2.4.0,Notification,Bug signalé,3,4,4,4,Problème de connexion récurrent
APPMOB-00250,CLI-64121,2025-08-14 11:22:18,Android 2.4.1,Paiement,Difficulté d'utilisation,4,3,5,3,Menu pas intuitif
APPMOB-00251,CLI-90476,2025-09-07 11:22:18,iOS 2.4.0,Paiement,Suggestion d'amélioration,3,3,2,4,Ajouter Touch ID/Face ID
APPMOB-00252,CLI-14960,2025-06-07 11:22:18,Android 2.4.0,Demande d'attestation,Difficulté d'utilisation,4,5,4,5,Trop complexe pour déclarer un sinistre
APPMOB-00253,CLI-88280,2025-07-10 11:22:18,iOS 2.3.5,Paiement,Suggestion d'amélioration,4,4,4,4,Ajouter Touch ID/Face ID
APPMOB-00254,CLI-58340,2025-09-12 11:22:18,iOS 2.4.1,Notification,Suggestion d'amélioration,4,4,4,3,Ajouter Touch ID/Face ID
APPMOB-00255,CLI-70663,2025-09-29 11:22:18,Android 2.4.0,Chat avec conseiller,Appréciation positive,2,2,1,1,Application très pratique
APPMOB-00256,CLI-73830,2025-09-04 11:22:18,Android 2.4.0,Consultation de contrats,Suggestion d'amélioration,5,5,5,5,Ajouter Touch ID/Face ID
APPMOB-00257,CLI-10134,2025-10-17 11:22:18,iOS 2.4.0,Notification,Appréciation positive,3,3,2,2,Facile à utiliser
APPMOB-00258,CLI-23621,2025-08-07 11:22:18,Android 2.4.0,Consultation de contrats,Bug signalé,2,3,2,3,Notifications qui ne s'affichent pas
APPMOB-00259,CLI-62635,2025-10-12 11:22:18,Android 2.4.1,Gestion de profil,Appréciation positive,3,2,4,4,Facile à utiliser
APPMOB-00260,CLI-51554,2025-06-30 11:22:18,iOS 2.4.1,Simulation de devis,Suggestion d'amélioration,4,4,4,5,Améliorer l'ergonomie
APPMOB-00261,CLI-30959,2025-05-21 11:22:18,iOS 2.3.5,Gestion de profil,Difficulté d'utilisation,1,1,2,1,Menu pas intuitif
APPMOB-00262,CLI-43990,2025-05-23 11:22:18,Android 2.4.1,Déclaration de sinistre,Suggestion d'amélioration,3,4,4,2,Ajouter Touch ID/Face ID
APPMOB-00263,CLI-64015,2025-09-08 11:22:18,Android 2.4.0,Demande d'attestation,Difficulté d'utilisation,4,3,5,3,Menu pas intuitif
APPMOB-00264,CLI-78325,2025-09-17 11:22:18,Android 2.3.5,Gestion de profil,Bug signalé,4,4,3,5,Notifications qui ne s'affichent pas
APPMOB-00265,CLI-97963,2025-05-31 11:22:18,iOS 2.4.0,Espace documentaire,Difficulté d'utilisation,2,2,3,2,Trop complexe pour déclarer un sinistre
APPMOB-00266,CLI-37818,2025-10-10 11:22:18,iOS 2.4.0,Suivi de remboursement,Appréciation positive,2,3,3,1,Application très pratique
APPMOB-00267,CLI-42392,2025-05-29 11:22:18,Android 2.3.5,Demande d'attestation,Bug signalé,4,5,5,4,Problème de connexion récurrent
APPMOB-00268,CLI-13243,2025-08-07 11:22:18,Android 2.4.1,Gestion de profil,Bug signalé,2,1,3,3,Impossible de télécharger les attestations
APPMOB-00269,CLI-67917,2025-05-10 11:22:18,iOS 2.4.1,Simulation de devis,Suggestion d'amélioration,3,2,2,2,Ajouter Touch ID/Face ID
APPMOB-00270,CLI-48632,2025-07-18 11:22:18,Android 2.4.0,Suivi de remboursement,Difficulté d'utilisation,2,2,2,2,Trop complexe pour déclarer un sinistre
APPMOB-00271,CLI-70350,2025-10-05 11:22:18,Android 2.4.1,Espace documentaire,Bug signalé,3,4,3,2,Impossible de télécharger les attestations
APPMOB-00272,CLI-56245,2025-06-19 11:22:18,iOS 2.3.5,Chat avec conseiller,Appréciation positive,4,5,5,5,Application très pratique
APPMOB-00273,CLI-47894,2025-10-10 11:22:18,Android 2.3.5,Consultation de contrats,Suggestion d'amélioration,1,1,1,1,Ajouter Touch ID/Face ID
APPMOB-00274,CLI-59609,2025-04-29 11:22:18,Android 2.4.1,Paiement,Suggestion d'amélioration,3,4,2,2,Ajouter mode sombre
APPMOB-00275,CLI-67175,2025-09-30 11:22:18,iOS 2.3.5,Déclaration de sinistre,Difficulté d'utilisation,5,5,5,5,Menu pas intuitif
APPMOB-00276,CLI-71080,2025-09-14 11:22:18,Android 2.4.0,Demande d'attestation,Bug signalé,4,5,3,3,L'application se ferme lors du paiement
APPMOB-00277,CLI-20402,2025-07-25 11:22:18,Android 2.3.5,Demande d'attestation,Bug signalé,4,4,3,4,Impossible de télécharger les attestations
APPMOB-00278,CLI-50487,2025-08-17 11:22:18,Android 2.4.0,Espace documentaire,Bug signalé,3,4,4,3,L'application se ferme lors du paiement
APPMOB-00279,CLI-76998,2025-09-18 11:22:18,Android 2.4.0,Consultation de contrats,Suggestion d'amélioration,4,5,3,4,Ajouter Touch ID/Face ID
APPMOB-00280,CLI-27107,2025-08-27 11:22:18,Android 2.4.0,Suivi de remboursement,Suggestion d'amélioration,1,1,1,1,Ajouter mode sombre
APPMOB-00281,CLI-40735,2025-04-23 11:22:18,Android 2.4.1,Paiement,Bug signalé,4,3,5,5,Impossible de télécharger les attestations
APPMOB-00282,CLI-91140,2025-05-30 11:22:18,iOS 2.4.1,Espace documentaire,Suggestion d'amélioration,3,3,3,4,Ajouter Touch ID/Face ID
APPMOB-00283,CLI-32100,2025-08-28 11:22:18,Android 2.4.1,Suivi de remboursement,Bug signalé,5,5,5,5,Impossible de télécharger les attestations
APPMOB-00284,CLI-14319,2025-08-19 11:22:18,iOS 2.3.5,Suivi de remboursement,Appréciation positive,1,1,1,1,Facile à utiliser
APPMOB-00285,CLI-72070,2025-08-02 11:22:18,iOS 2.4.0,Simulation de devis,Suggestion d'amélioration,4,3,3,5,Ajouter Touch ID/Face ID
APPMOB-00286,CLI-51203,2025-09-03 11:22:18,iOS 2.4.1,Demande d'attestation,Suggestion d'amélioration,5,5,5,4,Ajouter mode sombre
APPMOB-00287,CLI-43531,2025-10-08 11:22:18,Android 2.4.0,Chat avec conseiller,Appréciation positive,3,4,2,4,Facile à utiliser
APPMOB-00288,CLI-19361,2025-10-18 11:22:18,iOS 2.4.1,Espace documentaire,Difficulté d'utilisation,3,3,4,2,Menu pas intuitif
APPMOB-00289,CLI-95950,2025-09-03 11:22:18,Android 2.4.0,Suivi de remboursement,Difficulté d'utilisation,3,3,3,3,Trop complexe pour déclarer un sinistre
APPMOB-00290,CLI-79791,2025-06-28 11:22:18,iOS 2.3.5,Consultation de contrats,Difficulté d'utilisation,2,1,3,2,Menu pas intuitif
APPMOB-00291,CLI-56912,2025-04-26 11:22:18,Android 2.4.0,Déclaration de sinistre,Difficulté d'utilisation,2,2,2,3,Trop complexe pour déclarer un sinistre
APPMOB-00292,CLI-54252,2025-04-27 11:22:18,iOS 2.4.0,Suivi de remboursement,Suggestion d'amélioration,3,2,2,3,Ajouter Touch ID/Face ID
APPMOB-00293,CLI-73661,2025-06-06 11:22:18,Android 2.4.1,Simulation de devis,Difficulté d'utilisation,5,5,5,4,Menu pas intuitif
APPMOB-00294,CLI-69243,2025-05-28 11:22:18,iOS 2.4.0,Demande d'attestation,Suggestion d'amélioration,5,5,5,5,Améliorer l'ergonomie
APPMOB-00295,CLI-38233,2025-06-20 11:22:18,iOS 2.4.0,Notification,Suggestion d'amélioration,5,5,4,5,Améliorer l'ergonomie
APPMOB-00296,CLI-42466,2025-05-16 11:22:18,iOS 2.4.1,Déclaration de sinistre,Appréciation positive,4,4,4,4,Interface claire et intuitive
APPMOB-00297,CLI-28321,2025-10-03 11:22:18,Android 2.4.0,Consultation de contrats,Difficulté d'utilisation,5,5,4,5,Trop complexe pour déclarer un sinistre
APPMOB-00298,CLI-78684,2025-06-17 11:22:18,Android 2.4.0,Chat avec conseiller,Suggestion d'amélioration,3,3,4,2,Ajouter Touch ID/Face ID
APPMOB-00299,CLI-19446,2025-05-16 11:22:18,Android 2.4.0,Notification,Difficulté d'utilisation,2,2,3,1,Menu pas intuitif
APPMOB-00300,CLI-37675,2025-06-01 11:22:18,Android 2.4.0,Gestion de profil,Suggestion d'amélioration,4,5,5,3,Ajouter Touch ID/Face ID
APPMOB-00301,CLI-67155,2025-10-01 11:22:18,iOS 2.4.0,Paiement,Suggestion d'amélioration,4,4,3,5,Améliorer l'ergonomie
APPMOB-00302,CLI-42276,2025-06-28 11:22:18,iOS 2.4.1,Simulation de devis,Difficulté d'utilisation,5,5,4,4,Menu pas intuitif
APPMOB-00303,CLI-15312,2025-08-09 11:22:18,iOS 2.4.0,Suivi de remboursement,Appréciation positive,4,4,3,3,Facile à utiliser
APPMOB-00304,CLI-27881,2025-07-31 11:22:18,Android 2.4.0,Gestion de profil,Appréciation positive,4,3,5,5,Application très pratique
APPMOB-00305,CLI-24336,2025-06-01 11:22:18,Android 2.3.5,Paiement,Bug signalé,3,3,3,2,L'application se ferme lors du paiement
APPMOB-00306,CLI-75321,2025-08-31 11:22:18,iOS 2.3.5,Gestion de profil,Appréciation positive,3,4,3,4,Facile à utiliser
APPMOB-00307,CLI-30654,2025-09-17 11:22:18,Android 2.4.1,Gestion de profil,Suggestion d'amélioration,4,4,5,5,Ajouter mode sombre
APPMOB-00308,CLI-13254,2025-05-31 11:22:18,Android 2.4.0,Chat avec conseiller,Difficulté d'utilisation,1,1,2,2,Menu pas intuitif
APPMOB-00309,CLI-80349,2025-04-21 11:22:18,iOS 2.4.0,Espace documentaire,Appréciation positive,4,3,3,5,Application très pratique
APPMOB-00310,CLI-41747,2025-09-06 11:22:18,Android 2.3.5,Chat avec conseiller,Appréciation positive,1,1,1,1,Interface claire et intuitive
APPMOB-00311,CLI-43288,2025-05-03 11:22:18,Android 2.3.5,Notification,Appréciation positive,4,4,3,4,Facile à utiliser
APPMOB-00312,CLI-34058,2025-05-27 11:22:18,Android 2.3.5,Chat avec conseiller,Appréciation positive,5,5,4,4,Application très pratique
APPMOB-00313,CLI-28671,2025-10-01 11:22:18,iOS 2.4.1,Simulation de devis,Suggestion d'amélioration,3,3,2,4,Ajouter Touch ID/Face ID
APPMOB-00314,CLI-63369,2025-08-20 11:22:18,Android 2.3.5,Espace documentaire,Appréciation positive,4,3,4,5,Interface claire et intuitive
APPMOB-00315,CLI-60911,2025-09-21 11:22:18,iOS 2.4.0,Espace documentaire,Suggestion d'amélioration,4,3,4,5,Ajouter mode sombre
APPMOB-00316,CLI-55636,2025-08-09 11:22:18,iOS 2.4.0,Chat avec conseiller,Bug signalé,2,3,1,3,Impossible de télécharger les attestations
APPMOB-00317,CLI-36565,2025-05-14 11:22:18,iOS 2.4.1,Demande d'attestation,Difficulté d'utilisation,2,2,3,3,Trop complexe pour déclarer un sinistre
APPMOB-00318,CLI-65717,2025-09-25 11:22:18,Android 2.4.1,Consultation de contrats,Difficulté d'utilisation,5,5,4,5,Trop complexe pour déclarer un sinistre
APPMOB-00319,CLI-15832,2025-09-18 11:22:18,iOS 2.3.5,Simulation de devis,Suggestion d'amélioration,4,4,5,3,Améliorer l'ergonomie
APPMOB-00320,CLI-20528,2025-07-15 11:22:18,iOS 2.4.0,Consultation de contrats,Suggestion d'amélioration,1,1,1,1,Ajouter mode sombre
APPMOB-00321,CLI-14587,2025-04-24 11:22:18,iOS 2.4.1,Déclaration de sinistre,Bug signalé,5,4,4,5,L'application se ferme lors du paiement
APPMOB-00322,CLI-11117,2025-06-20 11:22:18,iOS 2.3.5,Gestion de profil,Bug signalé,2,2,2,1,Problème de connexion récurrent
APPMOB-00323,CLI-84242,2025-08-03 11:22:18,iOS 2.4.1,Paiement,Suggestion d'amélioration,2,2,1,3,Améliorer l'ergonomie
APPMOB-00324,CLI-11042,2025-06-20 11:22:18,Android 2.4.1,Déclaration de sinistre,Bug signalé,3,4,2,4,Impossible de télécharger les attestations
APPMOB-00325,CLI-65917,2025-06-26 11:22:18,iOS 2.4.1,Consultation de contrats,Suggestion d'amélioration,3,3,2,4,Ajouter Touch ID/Face ID
APPMOB-00326,CLI-14318,2025-08-07 11:22:18,Android 2.4.1,Simulation de devis,Difficulté d'utilisation,3,3,4,3,Trop complexe pour déclarer un sinistre
APPMOB-00327,CLI-43795,2025-06-08 11:22:18,iOS 2.3.5,Demande d'attestation,Difficulté d'utilisation,1,2,1,2,Trop complexe pour déclarer un sinistre
APPMOB-00328,CLI-35292,2025-06-15 11:22:18,Android 2.4.0,Déclaration de sinistre,Suggestion d'amélioration,1,1,1,1,Ajouter Touch ID/Face ID
APPMOB-00329,CLI-40371,2025-07-05 11:22:18,Android 2.4.1,Paiement,Difficulté d'utilisation,4,3,5,4,Trop complexe pour déclarer un sinistre
APPMOB-00330,CLI-84843,2025-05-20 11:22:18,Android 2.4.1,Consultation de contrats,Difficulté d'utilisation,2,3,1,2,Trop complexe pour déclarer un sinistre
APPMOB-00331,CLI-36619,2025-06-01 11:22:18,iOS 2.4.0,Notification,Difficulté d'utilisation,4,3,4,3,Trop complexe pour déclarer un sinistre
APPMOB-00332,CLI-95747,2025-05-09 11:22:18,iOS 2.4.0,Chat avec conseiller,Bug signalé,2,2,2,3,L'application se ferme lors du paiement
APPMOB-00333,CLI-62313,2025-08-13 11:22:18,Android 2.3.5,Simulation de devis,Appréciation positive,3,4,4,4,Interface claire et intuitive
APPMOB-00334,CLI-88424,2025-05-16 11:22:18,Android 2.4.0,Gestion de profil,Suggestion d'amélioration,5,5,4,5,Ajouter mode sombre
APPMOB-00335,CLI-52118,2025-08-17 11:22:18,iOS 2.4.0,Espace documentaire,Difficulté d'utilisation,2,3,2,3,Menu pas intuitif
APPMOB-00336,CLI-61147,2025-05-14 11:22:18,Android 2.4.1,Suivi de remboursement,Bug signalé,2,1,2,2,Problème de connexion récurrent
APPMOB-00337,CLI-28418,2025-07-15 11:22:18,iOS 2.3.5,Consultation de contrats,Appréciation positive,3,4,2,4,Interface claire et intuitive
APPMOB-00338,CLI-14039,2025-06-16 11:22:18,Android 2.3.5,Gestion de profil,Bug signalé,4,4,3,5,L'application se ferme lors du paiement
APPMOB-00339,CLI-66851,2025-09-13 11:22:18,Android 2.4.0,Simulation de devis,Difficulté d'utilisation,4,4,5,3,Menu pas intuitif
APPMOB-00340,CLI-88678,2025-05-04 11:22:18,iOS 2.4.0,Consultation de contrats,Appréciation positive,2,3,1,3,Facile à utiliser
APPMOB-00341,CLI-81540,2025-09-26 11:22:18,iOS 2.4.0,Suivi de remboursement,Bug signalé,3,3,3,3,Impossible de télécharger les attestations
APPMOB-00342,CLI-28320,2025-06-25 11:22:18,Android 2.3.5,Demande d'attestation,Difficulté d'utilisation,5,5,5,4,Menu pas intuitif
APPMOB-00343,CLI-32098,2025-06-28 11:22:18,Android 2.3.5,Chat avec conseiller,Appréciation positive,2,1,2,1,Application très pratique
APPMOB-00344,CLI-92927,2025-07-19 11:22:18,iOS 2.4.1,Gestion de profil,Difficulté d'utilisation,3,3,3,3,Trop complexe pour déclarer un sinistre
APPMOB-00345,CLI-90836,2025-05-20 11:22:18,iOS 2.4.1,Suivi de remboursement,Difficulté d'utilisation,1,2,2,1,Menu pas intuitif
APPMOB-00346,CLI-77111,2025-05-21 11:22:18,Android 2.4.0,Paiement,Difficulté d'utilisation,1,1,1,1,Trop complexe pour déclarer un sinistre
APPMOB-00347,CLI-77893,2025-09-08 11:22:18,iOS 2.4.0,Chat avec conseiller,Bug signalé,4,5,5,4,Impossible de télécharger les attestations
APPMOB-00348,CLI-81627,2025-10-01 11:22:18,Android 2.4.0,Demande d'attestation,Difficulté d'utilisation,1,1,1,1,Trop complexe pour déclarer un sinistre
APPMOB-00349,CLI-35511,2025-07-30 11:22:18,iOS 2.4.1,Gestion de profil,Suggestion d'amélioration,5,5,5,5,Ajouter Touch ID/Face ID
APPMOB-00350,CLI-81546,2025-08-23 11:22:18,Android 2.3.5,Consultation de contrats,Suggestion d'amélioration,4,4,5,5,Améliorer l'ergonomie
APPMOB-00351,CLI-22549,2025-05-30 11:22:18,iOS 2.4.0,Consultation de contrats,Appréciation positive,4,3,4,4,Facile à utiliser
APPMOB-00352,CLI-32342,2025-10-12 11:22:18,iOS 2.4.1,Gestion de profil,Bug signalé,4,4,3,3,Problème de connexion récurrent
APPMOB-00353,CLI-90986,2025-07-20 11:22:18,iOS 2.4.0,Consultation de contrats,Bug signalé,3,3,4,4,Problème de connexion récurrent
APPMOB-00354,CLI-60330,2025-07-29 11:22:18,Android 2.4.0,Déclaration de sinistre,Suggestion d'amélioration,4,5,4,3,Ajouter mode sombre
APPMOB-00355,CLI-35647,2025-05-05 11:22:18,Android 2.3.5,Paiement,Appréciation positive,4,3,3,4,Facile à utiliser
APPMOB-00356,CLI-95798,2025-08-26 11:22:18,iOS 2.4.1,Simulation de devis,Appréciation positive,4,3,5,3,Interface claire et intuitive
APPMOB-00357,CLI-39726,2025-06-16 11:22:18,iOS 2.4.0,Espace documentaire,Suggestion d'amélioration,4,3,3,3,Ajouter mode sombre
APPMOB-00358,CLI-86883,2025-06-28 11:22:18,Android 2.4.0,Paiement,Difficulté d'utilisation,2,2,3,1,Trop complexe pour déclarer un sinistre
